Wavelength (micron), Reflectance
3.4999999e-001,-1.2300000e+034
3.5100001e-001,-1.2300000e+034
3.5200000e-001,-1.2300000e+034
3.5299999e-001,-1.2300000e+034
3.5400000e-001,-1.2300000e+034
3.5499999e-001,-1.2300000e+034
3.5600001e-001,-1.2300000e+034
3.5699999e-001,-1.2300000e+034
3.5800001e-001,-1.2300000e+034
3.5900000e-001,-1.2300000e+034
3.6000001e-001,-1.2300000e+034
3.6100000e-001,-1.2300000e+034
3.6199999e-001,-1.2300000e+034
3.6300001e-001,-1.2300000e+034
3.6399999e-001,-1.2300000e+034
3.6500001e-001,-1.2300000e+034
3.6600000e-001,-1.2300000e+034
3.6700001e-001,-1.2300000e+034
3.6800000e-001,-1.2300000e+034
3.6899999e-001,-1.2300000e+034
3.7000000e-001,-1.2300000e+034
3.7099999e-001,-1.2300000e+034
3.7200001e-001,-1.2300000e+034
3.7300000e-001,-1.2300000e+034
3.7400001e-001,-1.2300000e+034
3.7500000e-001,-1.2300000e+034
3.7599999e-001,-1.2300000e+034
3.7700000e-001,-1.2300000e+034
3.7799999e-001,-1.2300000e+034
3.7900001e-001,-1.2300000e+034
3.8000000e-001,-1.2300000e+034
3.8100001e-001,-1.2300000e+034
3.8200000e-001,-1.2300000e+034
3.8299999e-001,-1.2300000e+034
3.8400000e-001,-1.2300000e+034
3.8499999e-001,-1.2300000e+034
3.8600001e-001,-1.2300000e+034
3.8699999e-001,-1.2300000e+034
3.8800001e-001,-1.2300000e+034
3.8900000e-001,-1.2300000e+034
3.8999999e-001,-1.2300000e+034
3.9100000e-001,-1.2300000e+034
3.9199999e-001,-1.2300000e+034
3.9300001e-001,-1.2300000e+034
3.9399999e-001,-1.2300000e+034
3.9500001e-001,-1.2300000e+034
3.9600000e-001,-1.2300000e+034
3.9700001e-001,-1.2300000e+034
3.9800000e-001,-1.2300000e+034
3.9899999e-001,-1.2300000e+034
4.0000001e-001,-1.2300000e+034
4.0099999e-001,-1.2300000e+034
4.0200001e-001,-1.2300000e+034
4.0300000e-001,-1.2300000e+034
4.0400001e-001,-1.2300000e+034
4.0500000e-001,-1.2300000e+034
4.0599999e-001,-1.2300000e+034
4.0700001e-001,-1.2300000e+034
4.0799999e-001,-1.2300000e+034
4.0900001e-001,-1.2300000e+034
4.1000000e-001,-1.2300000e+034
4.1100001e-001,-1.2300000e+034
4.1200000e-001,-1.2300000e+034
4.1299999e-001,-1.2300000e+034
4.1400000e-001, 4.9495924e-002
4.1499999e-001, 4.9496889e-002
4.1600001e-001, 4.9498048e-002
4.1700000e-001, 4.9499325e-002
4.1800001e-001, 4.9500760e-002
4.1900000e-001, 4.9502268e-002
4.1999999e-001, 4.9503960e-002
4.2100000e-001, 4.9864314e-002
4.2199999e-001, 5.0232917e-002
4.2300001e-001, 5.0617758e-002
4.2399999e-001, 5.1013794e-002
4.2500001e-001, 5.1362995e-002
4.2600000e-001, 5.1594142e-002
4.2699999e-001, 5.1669553e-002
4.2800000e-001, 5.1685531e-002
4.2899999e-001, 5.1771801e-002
4.3000001e-001, 5.2024856e-002
4.3099999e-001, 5.2407522e-002
4.3200001e-001, 5.2849166e-002
4.3300000e-001, 5.3292103e-002
4.3399999e-001, 5.3730007e-002
4.3500000e-001, 5.4169398e-002
4.3599999e-001, 5.4606978e-002
4.3700001e-001, 5.4999795e-002
4.3799999e-001, 5.5295069e-002
4.3900001e-001, 5.5461697e-002
4.4000000e-001, 5.5555742e-002
4.4100001e-001, 5.5655058e-002
4.4200000e-001, 5.5813231e-002
4.4299999e-001, 5.5986855e-002
4.4400001e-001, 5.6108333e-002
4.4499999e-001, 5.6136988e-002
4.4600001e-001, 5.6140393e-002
4.4700000e-001, 5.6213211e-002
4.4800001e-001, 5.6416530e-002
4.4900000e-001, 5.6677245e-002
4.4999999e-001, 5.6888856e-002
4.5100001e-001, 5.6978039e-002
4.5199999e-001, 5.7004809e-002
4.5300001e-001, 5.7062373e-002
4.5400000e-001, 5.7214335e-002
4.5500001e-001, 5.7405140e-002
4.5600000e-001, 5.7549421e-002
4.5699999e-001, 5.7586499e-002
4.5800000e-001, 5.7554454e-002
4.5899999e-001, 5.7515990e-002
4.6000001e-001, 5.7517260e-002
4.6100000e-001, 5.7537645e-002
4.6200001e-001, 5.7540048e-002
4.6300000e-001, 5.7499148e-002
4.6399999e-001, 5.7437394e-002
4.6500000e-001, 5.7388991e-002
4.6599999e-001, 5.7380188e-002
4.6700001e-001, 5.7404906e-002
4.6799999e-001, 5.7449166e-002
4.6900001e-001, 5.7505060e-002
4.7000000e-001, 5.7589773e-002
4.7099999e-001, 5.7726674e-002
4.7200000e-001, 5.7923228e-002
4.7299999e-001, 5.8123369e-002
4.7400001e-001, 5.8255140e-002
4.7499999e-001, 5.8268718e-002
4.7600001e-001, 5.8202785e-002
4.7700000e-001, 5.8118351e-002
4.7799999e-001, 5.8070801e-002
4.7900000e-001, 5.8093399e-002
4.7999999e-001, 5.8213823e-002
4.8100001e-001, 5.8442071e-002
4.8199999e-001, 5.8716752e-002
4.8300001e-001, 5.8958750e-002
4.8400000e-001, 5.9107326e-002
4.8500001e-001, 5.9175886e-002
4.8600000e-001, 5.9196077e-002
4.8699999e-001, 5.9197675e-002
4.8800001e-001, 5.9202142e-002
4.8899999e-001, 5.9229095e-002
4.9000001e-001, 5.9295617e-002
4.9100000e-001, 5.9409726e-002
4.9200001e-001, 5.9577122e-002
4.9300000e-001, 5.9794698e-002
4.9399999e-001, 6.0024764e-002
4.9500000e-001, 6.0220666e-002
4.9599999e-001, 6.0351081e-002
4.9700001e-001, 6.0445167e-002
4.9800000e-001, 6.0547281e-002
4.9900001e-001, 6.0700305e-002
5.0000000e-001, 6.0940925e-002
5.0099999e-001, 6.1304566e-002
5.0199997e-001, 6.1806049e-002
5.0300002e-001, 6.2379364e-002
5.0400001e-001, 6.2937960e-002
5.0500000e-001, 6.3428350e-002
5.0599998e-001, 6.3928008e-002
5.0700003e-001, 6.4547405e-002
5.0800002e-001, 6.5366022e-002
5.0900000e-001, 6.6340290e-002
5.0999999e-001, 6.7395791e-002
5.1099998e-001, 6.8482868e-002
5.1200002e-001, 6.9649957e-002
5.1300001e-001, 7.0970096e-002
5.1400000e-001, 7.2497576e-002
5.1499999e-001, 7.4211754e-002
5.1599997e-001, 7.6073334e-002
5.1700002e-001, 7.8052811e-002
5.1800001e-001, 8.0159001e-002
5.1899999e-001, 8.2410775e-002
5.1999998e-001, 8.4811643e-002
5.2100003e-001, 8.7303869e-002
5.2200001e-001, 8.9814514e-002
5.2300000e-001, 9.2288107e-002
5.2399999e-001, 9.4738215e-002
5.2499998e-001, 9.7196199e-002
5.2600002e-001, 9.9673912e-002
5.2700001e-001, 1.0210572e-001
5.2800000e-001, 1.0440609e-001
5.2899998e-001, 1.0650884e-001
5.2999997e-001, 1.0842296e-001
5.3100002e-001, 1.1017629e-001
5.3200001e-001, 1.1179378e-001
5.3299999e-001, 1.1328893e-001
5.3399998e-001, 1.1467210e-001
5.3500003e-001, 1.1595141e-001
5.3600001e-001, 1.1712480e-001
5.3700000e-001, 1.1818773e-001
5.3799999e-001, 1.1913291e-001
5.3899997e-001, 1.1994285e-001
5.4000002e-001, 1.2059742e-001
5.4100001e-001, 1.2109514e-001
5.4200000e-001, 1.2150964e-001
5.4299998e-001, 1.2193327e-001
5.4400003e-001, 1.2243115e-001
5.4500002e-001, 1.2295971e-001
5.4600000e-001, 1.2344817e-001
5.4699999e-001, 1.2384671e-001
5.4799998e-001, 1.2418925e-001
5.4900002e-001, 1.2453077e-001
5.5000001e-001, 1.2490493e-001
5.5100000e-001, 1.2526053e-001
5.5199999e-001, 1.2552513e-001
5.5299997e-001, 1.2563707e-001
5.5400002e-001, 1.2557791e-001
5.5500001e-001, 1.2534003e-001
5.5599999e-001, 1.2492031e-001
5.5699998e-001, 1.2433379e-001
5.5800003e-001, 1.2360014e-001
5.5900002e-001, 1.2273395e-001
5.6000000e-001, 1.2172994e-001
5.6099999e-001, 1.2057792e-001
5.6199998e-001, 1.1927570e-001
5.6300002e-001, 1.1785346e-001
5.6400001e-001, 1.1634975e-001
5.6500000e-001, 1.1479583e-001
5.6599998e-001, 1.1319521e-001
5.6699997e-001, 1.1154428e-001
5.6800002e-001, 1.0983986e-001
5.6900001e-001, 1.0807876e-001
5.6999999e-001, 1.0625804e-001
5.7099998e-001, 1.0438804e-001
5.7200003e-001, 1.0253262e-001
5.7300001e-001, 1.0076888e-001
5.7400000e-001, 9.9155851e-002
5.7499999e-001, 9.7678669e-002
5.7599998e-001, 9.6304245e-002
5.7700002e-001, 9.5003910e-002
5.7800001e-001, 9.3767412e-002
5.7900000e-001, 9.2588805e-002
5.7999998e-001, 9.1466345e-002
5.8099997e-001, 9.0414874e-002
5.8200002e-001, 8.9453407e-002
5.8300000e-001, 8.8596076e-002
5.8399999e-001, 8.7838106e-002
5.8499998e-001, 8.7169714e-002
5.8600003e-001, 8.6573809e-002
5.8700001e-001, 8.6003564e-002
5.8800000e-001, 8.5404828e-002
5.8899999e-001, 8.4747784e-002
5.8999997e-001, 8.4100388e-002
5.9100002e-001, 8.3555169e-002
5.9200001e-001, 8.3177134e-002
5.9299999e-001, 8.2921743e-002
5.9399998e-001, 8.2717165e-002
5.9500003e-001, 8.2503393e-002
5.9600002e-001, 8.2267977e-002
5.9700000e-001, 8.2010388e-002
5.9799999e-001, 8.1732310e-002
5.9899998e-001, 8.1444159e-002
6.0000002e-001, 8.1158511e-002
6.0100001e-001, 8.0880284e-002
6.0200000e-001, 8.0583632e-002
6.0299999e-001, 8.0234990e-002
6.0399997e-001, 7.9810396e-002
6.0500002e-001, 7.9323716e-002
6.0600001e-001, 7.8798339e-002
6.0699999e-001, 7.8254126e-002
6.0799998e-001, 7.7697113e-002
6.0900003e-001, 7.7129699e-002
