Wavelength (μm), Reflectance
4.000000000000000222e-01,8.384812892296185372e-02
4.020020020020020346e-01,8.422006450931759924e-02
4.040040040040040470e-01,8.448470077138080236e-02
4.060060060060060039e-01,8.473667309055438190e-02
4.080080080080080163e-01,8.502475450418646441e-02
4.100100100100100287e-01,8.505297072431748651e-02
4.120120120120120411e-01,8.521776097328048749e-02
4.140140140140140534e-01,8.540152126304308144e-02
4.160160160160160103e-01,8.550702502225231150e-02
4.180180180180180227e-01,8.554521430854009068e-02
4.200200200200200351e-01,8.560866166208465355e-02
4.220220220220220475e-01,8.568067155597844375e-02
4.240240240240240599e-01,8.583664955774608640e-02
4.260260260260260723e-01,8.588379885533464764e-02
4.280280280280280292e-01,8.592973954447484519e-02
4.300300300300300416e-01,8.606659799718212323e-02
4.320320320320320540e-01,8.605174923776533202e-02
4.340340340340340664e-01,8.603130493361715869e-02
4.360360360360360787e-01,8.602992365236269978e-02
4.380380380380380911e-01,8.596304253023348552e-02
4.400400400400400480e-01,8.588949259689084015e-02
4.420420420420420604e-01,8.580229097266235672e-02
4.440440440440440728e-01,8.569686879838829541e-02
4.460460460460460852e-01,8.565724022771242785e-02
4.480480480480480976e-01,8.565334675971067457e-02
4.500500500500500545e-01,8.560289142650105709e-02
4.520520520520520669e-01,8.556349382146272164e-02
4.540540540540540793e-01,8.570518965508107379e-02
4.560560560560560917e-01,8.590583544326430010e-02
4.580580580580581040e-01,8.582789739871582446e-02
4.600600600600600609e-01,8.578464717561276598e-02
4.620620620620620733e-01,8.588277609832926929e-02
4.640640640640640857e-01,8.591645433779027119e-02
4.660660660660660981e-01,8.595957771596268726e-02
4.680680680680681105e-01,8.591586176286036824e-02
4.700700700700700674e-01,8.580651960940233192e-02
4.720720720720720798e-01,8.570566646175528658e-02
4.740740740740740922e-01,8.559643688443539788e-02
4.760760760760761046e-01,8.549127944250267674e-02
4.780780780780781170e-01,8.535947643830804621e-02
4.800800800800800738e-01,8.530273493016707342e-02
4.820820820820820862e-01,8.512311328310367964e-02
4.840840840840840986e-01,8.492700466183181196e-02
4.860860860860861110e-01,8.468040291156342381e-02
4.880880880880881234e-01,8.443577101571331234e-02
4.900900900900900803e-01,8.414957215400947765e-02
4.920920920920921482e-01,8.380846191685634161e-02
4.940940940940941051e-01,8.351254307588043546e-02
4.960960960960961175e-01,8.316874990531930578e-02
4.980980980980981299e-01,8.287154327289222855e-02
5.001001001001000867e-01,8.249663742848523107e-02
5.021021021021021546e-01,8.218041432021042092e-02
5.041041041041041115e-01,8.187132710098057875e-02
5.061061061061060684e-01,8.162340900953549139e-02
5.081081081081081363e-01,8.141893145650666574e-02
5.101101101101100932e-01,8.137318299062215599e-02
5.121121121121121611e-01,8.134295155337452343e-02
5.141141141141141180e-01,8.148732630016114475e-02
5.161161161161160749e-01,8.160493037356136847e-02
5.181181181181181428e-01,8.185653732943849736e-02
5.201201201201200996e-01,8.225944431573904703e-02
5.221221221221221676e-01,8.265301410933893755e-02
5.241241241241241244e-01,8.295391460216057500e-02
5.261261261261260813e-01,8.334715074465802453e-02
5.281281281281281492e-01,8.370106251229085526e-02
5.301301301301302171e-01,8.390648940182349191e-02
5.321321321321321740e-01,8.414550283974497891e-02
5.341341341341341309e-01,8.430175770038123018e-02
5.361361361361360878e-01,8.444335244966852394e-02
5.381381381381381557e-01,8.457673054264451540e-02
5.401401401401402236e-01,8.477634890374104171e-02
5.421421421421421805e-01,8.488972219921087081e-02
5.441441441441441373e-01,8.501035201910973893e-02
5.461461461461462052e-01,8.509156842490082917e-02
5.481481481481481621e-01,8.502693382140363854e-02
5.501501501501502300e-01,8.509305967808662718e-02
5.521521521521521869e-01,8.508579319137341002e-02
5.541541541541541438e-01,8.503464910678831812e-02
5.561561561561562117e-01,8.502232330785491898e-02
5.581581581581581686e-01,8.489749866791498900e-02
5.601601601601602365e-01,8.490476412396438799e-02
5.621621621621621934e-01,8.479754386189608528e-02
5.641641641641641503e-01,8.463906217276923050e-02
5.661661661661662182e-01,8.439636317127849341e-02
5.681681681681681750e-01,8.415444110208615547e-02
5.701701701701702429e-01,8.392580019180333195e-02
5.721721721721721998e-01,8.366074653915370196e-02
5.741741741741741567e-01,8.342993536785586750e-02
5.761761761761762246e-01,8.315633534064463539e-02
5.781781781781781815e-01,8.297045882866498079e-02
5.801801801801802494e-01,8.274000482871038398e-02
5.821821821821822063e-01,8.254389533272812884e-02
5.841841841841841632e-01,8.240201147393837189e-02
5.861861861861862311e-01,8.227441570510085622e-02
5.881881881881881879e-01,8.212219997355565959e-02
5.901901901901902558e-01,8.200338548429021712e-02
5.921921921921922127e-01,8.187498121056600853e-02
5.941941941941941696e-01,8.167154362352943564e-02
5.961961961961962375e-01,8.148441171690870566e-02
5.981981981981981944e-01,8.141150428372252723e-02
6.002002002002002623e-01,8.125100508428657886e-02
6.022022022022022192e-01,8.119522748271643109e-02
6.042042042042041761e-01,8.110821636545041680e-02
6.062062062062062440e-01,8.100348564261269924e-02
6.082082082082082009e-01,8.096834678816819397e-02
6.102102102102102688e-01,8.103623974892326665e-02
6.122122122122122256e-01,8.103215939183372463e-02
6.142142142142141825e-01,8.097061999702231949e-02
6.162162162162162504e-01,8.082071393448238272e-02
6.182182182182182073e-01,8.079032378475174692e-02
6.202202202202202752e-01,8.075105893680473157e-02
6.222222222222222321e-01,8.074556376847061290e-02
6.242242242242241890e-01,8.075478743815116267e-02
6.262262262262262569e-01,8.079257828665183105e-02
6.282282282282282138e-01,8.082045650337076059e-02
6.302302302302302817e-01,8.096091657844674272e-02
6.322322322322322385e-01,8.093388512031408910e-02
6.342342342342341954e-01,8.093897785980887216e-02
6.362362362362362633e-01,8.086914985233031872e-02
6.382382382382382202e-01,8.085010970468177460e-02
6.402402402402402881e-01,8.070727622312229288e-02
6.422422422422422450e-01,8.061800939379723530e-02
6.442442442442442019e-01,8.046373812733717545e-02
6.462462462462462698e-01,8.031709411781330632e-02
6.482482482482483377e-01,8.017724100087211814e-02
6.502502502502502946e-01,8.010080231134686368e-02
6.522522522522522515e-01,8.015287174060992115e-02
6.542542542542542083e-01,8.007567984447178100e-02
6.562562562562562762e-01,8.002679346382352010e-02
6.582582582582583441e-01,7.995307893558872836e-02
6.602602602602603010e-01,7.987367497241913694e-02
6.622622622622622579e-01,7.990212380477904053e-02
6.642642642642642148e-01,7.979987782332312318e-02
6.662662662662662827e-01,7.980070437115655002e-02
6.682682682682683506e-01,7.965578255592389856e-02
6.702702702702703075e-01,7.966513717584226828e-02
6.722722722722722644e-01,7.958734384476832957e-02
6.742742742742742212e-01,7.969138517514665065e-02
6.762762762762762891e-01,7.992374104260427381e-02
6.782782782782783570e-01,8.000268397250480390e-02
6.802802802802803139e-01,8.024059597994695481e-02
6.822822822822822708e-01,8.049725302763618973e-02
6.842842842842842277e-01,8.083886290785445572e-02
6.862862862862862956e-01,8.128503819311286294e-02
6.882882882882883635e-01,8.185937561641190574e-02
6.902902902902903204e-01,8.257079644424757114e-02
6.922922922922922773e-01,8.350671395839050215e-02
6.942942942942942341e-01,8.471050189869065716e-02
6.962962962962963021e-01,8.601555543579712804e-02
6.982982982982983700e-01,8.761271396508873988e-02
7.003003003003003268e-01,8.938294687076944744e-02
7.023023023023022837e-01,9.127017965925068865e-02
7.043043043043043516e-01,9.334711094995944147e-02
7.063063063063063085e-01,9.541429393914543922e-02
7.083083083083083764e-01,9.750667647603351862e-02
7.103103103103103333e-01,9.956625280794197119e-02
7.123123123123122902e-01,1.016555552017695818e-01
7.143143143143143581e-01,1.037857859586630294e-01
7.163163163163163150e-01,1.059191971813347455e-01
7.183183183183183829e-01,1.079232368156836652e-01
7.203203203203203397e-01,1.099115974108281213e-01
7.223223223223222966e-01,1.117993761552956156e-01
7.243243243243243645e-01,1.136618404611580146e-01
7.263263263263263214e-01,1.153069703984093419e-01
7.283283283283283893e-01,1.168954919872958048e-01
7.303303303303303462e-01,1.183200380678502833e-01
7.323323323323323031e-01,1.196683482449630159e-01
7.343343343343343710e-01,1.209450327069404862e-01
7.363363363363363279e-01,1.222237909169000547e-01
7.383383383383383958e-01,1.234730444642856695e-01
7.403403403403403527e-01,1.247100811088133476e-01
7.423423423423423095e-01,1.256875958865717458e-01
7.443443443443443774e-01,1.265791677376535973e-01
7.463463463463464453e-01,1.272882346685141886e-01
7.483483483483484022e-01,1.280188181585535934e-01
7.503503503503503591e-01,1.284700574719284671e-01
7.523523523523523160e-01,1.289444233055206113e-01
7.543543543543543839e-01,1.293502461310663543e-01
7.563563563563564518e-01,1.295874259701629283e-01
7.583583583583584087e-01,1.298512779472526524e-01
7.603603603603603656e-01,1.301374398709121971e-01
7.623623623623623224e-01,1.302982744060945386e-01
7.643643643643643903e-01,1.304962581885833750e-01
7.663663663663664583e-01,1.307301014330230493e-01
7.683683683683684151e-01,1.309125822893565105e-01
7.703703703703703720e-01,1.311454999380914643e-01
7.723723723723723289e-01,1.314405126317263750e-01
7.743743743743743968e-01,1.315205477010800428e-01
7.763763763763764647e-01,1.316025085001795436e-01
7.783783783783784216e-01,1.317942194407746570e-01
7.803803803803803785e-01,1.319416237891093968e-01
7.823823823823823354e-01,1.320492962589912278e-01
7.843843843843844033e-01,1.321211871748081967e-01
7.863863863863864712e-01,1.322168667587399482e-01
7.883883883883884280e-01,1.323176730604422868e-01
7.903903903903903849e-01,1.324694587703758586e-01
7.923923923923923418e-01,1.325982487785760111e-01
7.943943943943944097e-01,1.326560619903484617e-01
7.963963963963964776e-01,1.327993795113830700e-01
7.983983983983984345e-01,1.328594236786327376e-01
8.004004004004003914e-01,1.330732247753877995e-01
8.024024024024023483e-01,1.332136944572577808e-01
8.044044044044044162e-01,1.333134732552390123e-01
8.064064064064064841e-01,1.334738619648055402e-01
8.084084084084084409e-01,1.336343129042694144e-01
8.104104104104103978e-01,1.337622596069398540e-01
8.124124124124123547e-01,1.338878948909620892e-01
8.144144144144144226e-01,1.340268432860420578e-01
8.164164164164164905e-01,1.341734089925357976e-01
8.184184184184184474e-01,1.343254675432287160e-01
8.204204204204204043e-01,1.344727075252782345e-01
8.224224224224223612e-01,1.345949935993977220e-01
8.244244244244244291e-01,1.347271501344143307e-01
8.264264264264264970e-01,1.348334235486553512e-01
8.284284284284284539e-01,1.349152671664842207e-01
8.304304304304304107e-01,1.349797196907358277e-01
8.324324324324324786e-01,1.350339219617299746e-01
8.344344344344344355e-01,1.350878680351892402e-01
8.364364364364365034e-01,1.351395513514649649e-01
8.384384384384384603e-01,1.352073493913274749e-01
8.404404404404404172e-01,1.352795080652704762e-01
8.424424424424424851e-01,1.353504329908044035e-01
8.444444444444444420e-01,1.354063723863986324e-01
8.464464464464465099e-01,1.354523250665074230e-01
8.484484484484484668e-01,1.354918066156887702e-01
8.504504504504504236e-01,1.355376037766761188e-01
8.524524524524524915e-01,1.356048582190380603e-01
8.544544544544544484e-01,1.356832249507048394e-01
8.564564564564565163e-01,1.357948761155452488e-01
8.584584584584584732e-01,1.359184037907798792e-01
8.604604604604604301e-01,1.360914382507086851e-01
8.624624624624624980e-01,1.363078928885062269e-01
8.644644644644644549e-01,1.365086967237734983e-01
8.664664664664665228e-01,1.366545456102537248e-01
8.684684684684684797e-01,1.367539541981642459e-01
8.704704704704704366e-01,1.367940834040048681e-01
