Wavelength (micron), Reflectance
3.4999999e-001,5.2233338e-002
3.5100001e-001,5.2236538e-002
3.5200000e-001,5.1908989e-002
3.5299999e-001,5.1553104e-002
3.5400000e-001,5.1140685e-002
3.5499999e-001,5.0657503e-002
3.5600001e-001,5.0144747e-002
3.5699999e-001,4.9657583e-002
3.5800001e-001,4.9242202e-002
3.5900000e-001,4.8908684e-002
3.6000001e-001,4.8657984e-002
3.6100000e-001,4.8483763e-002
3.6199999e-001,4.8349813e-002
3.6300001e-001,4.8212543e-002
3.6399999e-001,4.8035398e-002
3.6500001e-001,4.7809586e-002
3.6600000e-001,4.7533419e-002
3.6700001e-001,4.7214724e-002
3.6800000e-001,4.6899788e-002
3.6899999e-001,4.6644446e-002
3.7000000e-001,4.6486985e-002
3.7099999e-001,4.6395864e-002
3.7200001e-001,4.6322007e-002
3.7300000e-001,4.6224769e-002
3.7400001e-001,4.6097044e-002
3.7500000e-001,4.5940287e-002
3.7599999e-001,4.5762520e-002
3.7700000e-001,4.5598719e-002
3.7799999e-001,4.5490585e-002
3.7900001e-001,4.5461245e-002
3.8000000e-001,4.5460351e-002
3.8100001e-001,4.5419123e-002
3.8200000e-001,4.5291759e-002
3.8299999e-001,4.5125004e-002
3.8400000e-001,4.4988647e-002
3.8499999e-001,4.4932008e-002
3.8600001e-001,4.4922449e-002
3.8699999e-001,4.4906955e-002
3.8800001e-001,4.4845898e-002
3.8900000e-001,4.4753093e-002
3.8999999e-001,4.4655807e-002
3.9100000e-001,4.4575840e-002
3.9199999e-001,4.4513393e-002
3.9300001e-001,4.4463255e-002
3.9399999e-001,4.4420615e-002
3.9500001e-001,4.4382695e-002
3.9600000e-001,4.4347111e-002
3.9700001e-001,4.4312105e-002
3.9800000e-001,4.4278093e-002
3.9899999e-001,4.4246115e-002
4.0000001e-001,4.4215705e-002
4.0099999e-001,4.4180389e-002
4.0200001e-001,4.4132125e-002
4.0300000e-001,4.4071332e-002
4.0400001e-001,4.4031866e-002
4.0500000e-001,4.4055823e-002
4.0599999e-001,4.4168435e-002
4.0700001e-001,4.4326503e-002
4.0799999e-001,4.4469792e-002
4.0900001e-001,4.4556923e-002
4.1000000e-001,4.4621602e-002
4.1100001e-001,4.4716317e-002
4.1200000e-001,4.4879865e-002
4.1299999e-001,4.5095880e-002
4.1400000e-001,4.5334358e-002
4.1499999e-001,4.5572538e-002
4.1600001e-001,4.5817491e-002
4.1700000e-001,4.6083510e-002
4.1800001e-001,4.6381608e-002
4.1900000e-001,4.6709009e-002
4.1999999e-001,4.7059685e-002
4.2100000e-001,4.7428817e-002
4.2199999e-001,4.7817606e-002
4.2300001e-001,4.8228517e-002
4.2399999e-001,4.8661090e-002
4.2500001e-001,4.9102403e-002
4.2600000e-001,4.9536470e-002
4.2699999e-001,4.9951583e-002
4.2800000e-001,5.0352912e-002
4.2899999e-001,5.0749820e-002
4.3000001e-001,5.1148780e-002
4.3099999e-001,5.1544439e-002
4.3200001e-001,5.1928408e-002
4.3300000e-001,5.2294243e-002
