Wavelength (micron), Reflectance
2.0510000e-001, 3.6043383e-002
2.1310002e-001, 3.6043383e-002
2.2110000e-001, 3.6043383e-002
2.2910000e-001, 3.6043383e-002
2.3610000e-001, 3.6043383e-002
2.4210002e-001, 3.6043383e-002
2.4810001e-001, 3.6043383e-002
2.5360000e-001, 3.6043383e-002
2.5860000e-001, 3.6043383e-002
2.6359999e-001, 3.6043383e-002
2.6859999e-001, 3.6043383e-002
2.7309999e-001, 3.6043383e-002
2.7710000e-001, 3.6043383e-002
2.8109998e-001, 3.6043383e-002
2.8509998e-001, 3.6043383e-002
2.8909999e-001, 3.6043383e-002
2.9310000e-001, 3.6043383e-002
2.9710001e-001, 3.6164265e-002
3.0109999e-001, 3.6604192e-002
3.0509999e-001, 3.7043825e-002
3.0910000e-001, 3.7483323e-002
3.1309998e-001, 3.7923075e-002
3.1709999e-001, 3.8363468e-002
3.2110000e-001, 3.8804885e-002
3.2510000e-001, 3.9247707e-002
3.2910001e-001, 3.9692312e-002
3.3309999e-001, 4.0139090e-002
3.3710000e-001, 4.0588424e-002
3.4109998e-001, 4.1040689e-002
3.4509999e-001, 4.1496281e-002
3.4909999e-001, 4.1955575e-002
3.5310000e-001, 4.2418916e-002
3.5710001e-001, 4.2886216e-002
3.6060002e-001, 4.3298163e-002
3.6360002e-001, 4.3653388e-002
3.6660004e-001, 4.4010460e-002
3.6960003e-001, 4.4369269e-002
3.7260002e-001, 4.4729706e-002
3.7560001e-001, 4.5091659e-002
3.7860000e-001, 4.5455024e-002
3.8109997e-001, 4.5758821e-002
3.8309997e-001, 4.6002459e-002
3.8509998e-001, 4.6246611e-002
3.8709998e-001, 4.6491232e-002
3.8909999e-001, 4.6736285e-002
3.9109999e-001, 4.6981752e-002
3.9309999e-001, 4.7227573e-002
3.9510000e-001, 4.7473807e-002
3.9710000e-001, 4.7720067e-002
3.9910001e-001, 4.7967624e-002
4.0109998e-001, 4.8211623e-002
4.0309998e-001, 4.8470028e-002
4.0509999e-001, 4.8656870e-002
4.0709999e-001, 4.8757143e-002
4.0910000e-001, 4.8711065e-002
4.1109997e-001, 4.8641335e-002
4.1280001e-001, 4.8636232e-002
4.1580001e-001, 4.8551437e-002
4.1880000e-001, 4.8280369e-002
4.2180002e-001, 4.8006445e-002
4.2480004e-001, 4.7730181e-002
4.2780003e-001, 4.7466930e-002
4.3080002e-001, 4.7091231e-002
4.3380001e-001, 4.6543840e-002
4.3680003e-001, 4.6014767e-002
4.3980002e-001, 4.5508493e-002
4.4280002e-001, 4.4924926e-002
4.4580001e-001, 4.4390049e-002
4.4880000e-001, 4.3949541e-002
4.5130000e-001, 4.3623023e-002
4.5330000e-001, 4.3508228e-002
4.5530000e-001, 4.3493629e-002
4.5730001e-001, 4.3366533e-002
4.5930001e-001, 4.3186497e-002
4.6129999e-001, 4.3071080e-002
4.6329999e-001, 4.3016810e-002
4.6529999e-001, 4.2919856e-002
4.6730000e-001, 4.2749304e-002
4.6930000e-001, 4.2537786e-002
4.7129998e-001, 4.2268991e-002
4.7329998e-001, 4.1958857e-002
4.7529998e-001, 4.1626047e-002
4.7729999e-001, 4.1314684e-002
4.7929999e-001, 4.1013539e-002
4.8130000e-001, 4.0681139e-002
4.8330000e-001, 4.0287111e-002
4.8530000e-001, 3.9790988e-002
4.8730001e-001, 3.9223261e-002
4.8930001e-001, 3.8609587e-002
4.9129999e-001, 3.7964504e-002
4.9329999e-001, 3.7284367e-002
4.9529999e-001, 3.6568597e-002
4.9730000e-001, 3.5842650e-002
4.9930000e-001, 3.5069134e-002
5.0129998e-001, 3.4260802e-002
5.0330001e-001, 3.3426255e-002
5.0529999e-001, 3.2660197e-002
5.0730002e-001, 3.1963035e-002
5.0929999e-001, 3.1298865e-002
5.1129997e-001, 3.0708194e-002
5.1330000e-001, 3.0211253e-002
5.1529998e-001, 2.9787183e-002
5.1730001e-001, 2.9419577e-002
5.1929998e-001, 2.9140636e-002
5.2129996e-001, 2.8909817e-002
5.2329999e-001, 2.8686006e-002
5.2529997e-001, 2.8476149e-002
5.2730000e-001, 2.8271299e-002
5.2929997e-001, 2.8064080e-002
5.3129995e-001, 2.7863411e-002
5.3329998e-001, 2.7648160e-002
5.3529996e-001, 2.7417429e-002
5.3729999e-001, 2.7202806e-002
5.3929996e-001, 2.7007870e-002
5.4130000e-001, 2.6811287e-002
5.4330003e-001, 2.6577439e-002
5.4530001e-001, 2.6347574e-002
5.4730004e-001, 2.6135651e-002
5.4930001e-001, 2.5950529e-002
5.5129999e-001, 2.5756927e-002
5.5330002e-001, 2.5558170e-002
