Wavelength (micron), Reflectance
3.4999999e-001,-1.2300000e+034
3.5100001e-001,-1.2300000e+034
3.5200000e-001,-1.2300000e+034
3.5299999e-001,-1.2300000e+034
3.5400000e-001,-1.2300000e+034
3.5499999e-001,-1.2300000e+034
3.5600001e-001, 1.8198377e-002
3.5699999e-001, 1.8233763e-002
3.5800001e-001, 1.8308185e-002
3.5900000e-001, 1.8372154e-002
3.6000001e-001, 1.8423734e-002
3.6100000e-001, 1.8466832e-002
3.6199999e-001, 1.8499300e-002
3.6300001e-001, 1.8536229e-002
3.6399999e-001, 1.8619290e-002
3.6500001e-001, 1.8715797e-002
3.6600000e-001, 1.8799128e-002
3.6700001e-001, 1.8850936e-002
3.6800000e-001, 1.8899091e-002
3.6899999e-001, 1.8952563e-002
3.7000000e-001, 1.9014157e-002
3.7099999e-001, 1.9109620e-002
3.7200001e-001, 1.9204175e-002
3.7300000e-001, 1.9299740e-002
3.7400001e-001, 1.9410087e-002
3.7500000e-001, 1.9511702e-002
3.7599999e-001, 1.9609855e-002
3.7700000e-001, 1.9711686e-002
3.7799999e-001, 1.9845059e-002
3.7900001e-001, 1.9974839e-002
3.8000000e-001, 2.0081818e-002
3.8100001e-001, 2.0170568e-002
3.8200000e-001, 2.0289572e-002
3.8299999e-001, 2.0442661e-002
3.8400000e-001, 2.0604035e-002
3.8499999e-001, 2.0780418e-002
3.8600001e-001, 2.0959198e-002
3.8699999e-001, 2.1100843e-002
3.8800001e-001, 2.1270720e-002
3.8900000e-001, 2.1454634e-002
3.8999999e-001, 2.1648111e-002
3.9100000e-001, 2.1806454e-002
3.9199999e-001, 2.1978015e-002
3.9300001e-001, 2.2175644e-002
3.9399999e-001, 2.2375017e-002
3.9500001e-001, 2.2590522e-002
3.9600000e-001, 2.2819228e-002
3.9700001e-001, 2.3092546e-002
3.9800000e-001, 2.3316968e-002
3.9899999e-001, 2.3511678e-002
4.0000001e-001, 2.3699421e-002
4.0099999e-001, 2.3892593e-002
4.0200001e-001, 2.4072951e-002
4.0300000e-001, 2.4237162e-002
4.0400001e-001, 2.4444576e-002
4.0500000e-001, 2.4653645e-002
4.0599999e-001, 2.4866140e-002
4.0700001e-001, 2.5112394e-002
4.0799999e-001, 2.5360053e-002
4.0900001e-001, 2.5607713e-002
4.1000000e-001, 2.5859572e-002
4.1100001e-001, 2.6109163e-002
4.1200000e-001, 2.6363611e-002
4.1299999e-001, 2.6638415e-002
4.1400000e-001, 2.6893774e-002
4.1499999e-001, 2.7133377e-002
4.1600001e-001, 2.7358547e-002
4.1700000e-001, 2.7622653e-002
4.1800001e-001, 2.7890244e-002
4.1900000e-001, 2.8157750e-002
4.1999999e-001, 2.8402967e-002
4.2100000e-001, 2.8672015e-002
4.2199999e-001, 2.8943442e-002
4.2300001e-001, 2.9187750e-002
4.2399999e-001, 2.9448118e-002
4.2500001e-001, 2.9696841e-002
4.2600000e-001, 2.9919982e-002
4.2699999e-001, 3.0176450e-002
4.2800000e-001, 3.0426271e-002
4.2899999e-001, 3.0662915e-002
4.3000001e-001, 3.0929331e-002
4.3099999e-001, 3.1186467e-002
4.3200001e-001, 3.1438511e-002
4.3300000e-001, 3.1707898e-002
4.3399999e-001, 3.1960897e-002
4.3500000e-001, 3.2189000e-002
4.3599999e-001, 3.2379091e-002
4.3700001e-001, 3.2606505e-002
4.3799999e-001, 3.2832868e-002
4.3900001e-001, 3.3051200e-002
4.4000000e-001, 3.3282738e-002
4.4100001e-001, 3.3507925e-002
4.4200000e-001, 3.3728287e-002
4.4299999e-001, 3.3947069e-002
4.4400001e-001, 3.4169186e-002
4.4499999e-001, 3.4387801e-002
4.4600001e-001, 3.4595232e-002
4.4700000e-001, 3.4810130e-002
4.4800001e-001, 3.5032056e-002
4.4900000e-001, 3.5265982e-002
4.4999999e-001, 3.5469018e-002
4.5100001e-001, 3.5675596e-002
4.5199999e-001, 3.5891622e-002
4.5300001e-001, 3.6103766e-002
4.5400000e-001, 3.6306247e-002
4.5500001e-001, 3.6501758e-002
4.5600000e-001, 3.6695033e-002
4.5699999e-001, 3.6902644e-002
4.5800000e-001, 3.7114039e-002
4.5899999e-001, 3.7316769e-002
4.6000001e-001, 3.7500698e-002
4.6100000e-001, 3.7689622e-002
4.6200001e-001, 3.7893910e-002
4.6300000e-001, 3.8066994e-002
4.6399999e-001, 3.8245592e-002
4.6500000e-001, 3.8431652e-002
4.6599999e-001, 3.8625158e-002
4.6700001e-001, 3.8816158e-002
4.6799999e-001, 3.9004970e-002
4.6900001e-001, 3.9186269e-002
4.7000000e-001, 3.9373204e-002
4.7099999e-001, 3.9559260e-002
4.7200000e-001, 3.9738759e-002
4.7299999e-001, 3.9911553e-002
4.7400001e-001, 4.0088791e-002
4.7499999e-001, 4.0272396e-002
4.7600001e-001, 4.0453002e-002
4.7700000e-001, 4.0633231e-002
4.7799999e-001, 4.0813114e-002
4.7900000e-001, 4.0990725e-002
4.7999999e-001, 4.1163206e-002
4.8100001e-001, 4.1331559e-002
4.8199999e-001, 4.1495368e-002
4.8300001e-001, 4.1679494e-002
4.8400000e-001, 4.1859042e-002
4.8500001e-001, 4.2021181e-002
4.8600000e-001, 4.2207416e-002
4.8699999e-001, 4.2398792e-002
4.8800001e-001, 4.2592164e-002
4.8899999e-001, 4.2780314e-002
4.9000001e-001, 4.2958204e-002
4.9100000e-001, 4.3131467e-002
4.9200001e-001, 4.3321274e-002
4.9300000e-001, 4.3519177e-002
4.9399999e-001, 4.3722048e-002
4.9500000e-001, 4.3931130e-002
4.9599999e-001, 4.4132106e-002
4.9700001e-001, 4.4337779e-002
4.9800000e-001, 4.4552181e-002
4.9900001e-001, 4.4779688e-002
5.0000000e-001, 4.5015212e-002
5.0099999e-001, 4.5256965e-002
5.0199997e-001, 4.5497648e-002
5.0300002e-001, 4.5758195e-002
5.0400001e-001, 4.6025626e-002
5.0500000e-001, 4.6290200e-002
5.0599998e-001, 4.6578325e-002
5.0700003e-001, 4.6873339e-002
5.0800002e-001, 4.7172785e-002
5.0900000e-001, 4.7490738e-002
5.0999999e-001, 4.7821596e-002
5.1099998e-001, 4.8166532e-002
5.1200002e-001, 4.8514396e-002
5.1300001e-001, 4.8878301e-002
5.1400000e-001, 4.9261108e-002
5.1499999e-001, 4.9683683e-002
5.1599997e-001, 5.0115526e-002
5.1700002e-001, 5.0561707e-002
5.1800001e-001, 5.1026452e-002
5.1899999e-001, 5.1507704e-002
5.1999998e-001, 5.1998731e-002
5.2100003e-001, 5.2493505e-002
5.2200001e-001, 5.2989282e-002
5.2300000e-001, 5.3483196e-002
5.2399999e-001, 5.3978890e-002
5.2499998e-001, 5.4467358e-002
5.2600002e-001, 5.4962665e-002
5.2700001e-001, 5.5454928e-002
5.2800000e-001, 5.5936433e-002
5.2899998e-001, 5.6414455e-002
5.2999997e-001, 5.6868743e-002
5.3100002e-001, 5.7285648e-002
5.3200001e-001, 5.7688911e-002
5.3299999e-001, 5.8081400e-002
5.3399998e-001, 5.8465596e-002
5.3500003e-001, 5.8832891e-002
5.3600001e-001, 5.9181985e-002
5.3700000e-001, 5.9513330e-002
5.3799999e-001, 5.9824586e-002
5.3899997e-001, 6.0123440e-002
5.4000002e-001, 6.0414616e-002
5.4100001e-001, 6.0697440e-002
5.4200000e-001, 6.0975004e-002
5.4299998e-001, 6.1246425e-002
5.4400003e-001, 6.1509609e-002
5.4500002e-001, 6.1757889e-002
5.4600000e-001, 6.2011175e-002
5.4699999e-001, 6.2269028e-002
5.4799998e-001, 6.2518850e-002
5.4900002e-001, 6.2763378e-002
5.5000001e-001, 6.2999345e-002
5.5100000e-001, 6.3216276e-002
5.5199999e-001, 6.3431621e-002
5.5299997e-001, 6.3634939e-002
5.5400002e-001, 6.3817471e-002
5.5500001e-001, 6.3979998e-002
5.5599999e-001, 6.4126030e-002
5.5699998e-001, 6.4255513e-002
5.5800003e-001, 6.4346619e-002
5.5900002e-001, 6.4422376e-002
5.6000000e-001, 6.4485937e-002
5.6099999e-001, 6.4541854e-002
5.6199998e-001, 6.4576954e-002
5.6300002e-001, 6.4600818e-002
5.6400001e-001, 6.4617336e-002
5.6500000e-001, 6.4611949e-002
5.6599998e-001, 6.4592689e-002
5.6699997e-001, 6.4558715e-002
5.6800002e-001, 6.4514078e-002
5.6900001e-001, 6.4457200e-002
5.6999999e-001, 6.4389437e-002
5.7099998e-001, 6.4322852e-002
5.7200003e-001, 6.4250007e-002
5.7300001e-001, 6.4177081e-002
5.7400000e-001, 6.4116344e-002
5.7499999e-001, 6.4058967e-002
5.7599998e-001, 6.4008981e-002
5.7700002e-001, 6.3972227e-002
5.7800001e-001, 6.3946046e-002
5.7900000e-001, 6.3926168e-002
5.7999998e-001, 6.3912734e-002
5.8099997e-001, 6.3910149e-002
5.8200002e-001, 6.3913010e-002
5.8300000e-001, 6.3923411e-002
5.8399999e-001, 6.3955978e-002
5.8499998e-001, 6.3991204e-002
5.8600003e-001, 6.4027883e-002
5.8700001e-001, 6.4064808e-002
5.8800000e-001, 6.4110689e-002
5.8899999e-001, 6.4162813e-002
5.8999997e-001, 6.4221211e-002
5.9100002e-001, 6.4287134e-002
5.9200001e-001, 6.4360395e-002
5.9299999e-001, 6.4439602e-002
5.9399998e-001, 6.4519748e-002
5.9500003e-001, 6.4621210e-002
5.9600002e-001, 6.4733215e-002
5.9700000e-001, 6.4835005e-002
5.9799999e-001, 6.4933136e-002
5.9899998e-001, 6.5029830e-002
6.0000002e-001, 6.5125242e-002
6.0100001e-001, 6.5219812e-002
6.0200000e-001, 6.5304942e-002
6.0299999e-001, 6.5377377e-002
6.0399997e-001, 6.5451480e-002
6.0500002e-001, 6.5516800e-002
6.0600001e-001, 6.5573506e-002
6.0699999e-001, 6.5615460e-002
6.0799998e-001, 6.5651841e-002
6.0900003e-001, 6.5684237e-002
