Wavelength (micron), Reflectance
4.000000000000000222e-01,1.167319999999999958e+01
4.010000000000000231e-01,1.176549999999999940e+01
4.020000000000000240e-01,1.186960000000000015e+01
4.030000000000000249e-01,1.222139999999999915e+01
4.040000000000000258e-01,1.195240000000000080e+01
4.050000000000000266e-01,1.222949999999999982e+01
4.060000000000000275e-01,1.198639999999999972e+01
4.069999999999999729e-01,1.259769999999999968e+01
4.079999999999999738e-01,1.268919999999999959e+01
4.089999999999999747e-01,1.260629999999999917e+01
4.099999999999999756e-01,1.233789999999999942e+01
4.109999999999999765e-01,1.242510000000000048e+01
4.119999999999999774e-01,1.251849999999999952e+01
4.129999999999999782e-01,1.252059999999999995e+01
4.139999999999999791e-01,1.268859999999999921e+01
4.149999999999999800e-01,1.277570000000000050e+01
4.159999999999999809e-01,1.278079999999999927e+01
4.169999999999999818e-01,1.286599999999999966e+01
4.179999999999999827e-01,1.288979999999999926e+01
4.189999999999999836e-01,1.306630000000000003e+01
4.199999999999999845e-01,1.318909999999999982e+01
4.209999999999999853e-01,1.306230000000000047e+01
4.219999999999999862e-01,1.310159999999999947e+01
4.229999999999999871e-01,1.324380000000000024e+01
4.239999999999999880e-01,1.338150000000000084e+01
4.249999999999999889e-01,1.347150000000000070e+01
4.259999999999999898e-01,1.334130000000000038e+01
4.269999999999999907e-01,1.342340000000000089e+01
4.279999999999999916e-01,1.342259999999999920e+01
4.289999999999999925e-01,1.359989999999999988e+01
4.299999999999999933e-01,1.373210000000000086e+01
4.309999999999999942e-01,1.359869999999999912e+01
4.319999999999999951e-01,1.359510000000000041e+01
4.329999999999999960e-01,1.377480000000000082e+01
4.339999999999999969e-01,1.377609999999999957e+01
4.349999999999999978e-01,1.377650000000000041e+01
4.359999999999999987e-01,1.412349999999999994e+01
4.369999999999999996e-01,1.412330000000000041e+01
4.380000000000000004e-01,1.412349999999999994e+01
4.390000000000000013e-01,1.420930000000000071e+01
4.400000000000000022e-01,1.421030000000000015e+01
4.410000000000000031e-01,1.429480000000000040e+01
4.420000000000000040e-01,1.429250000000000043e+01
4.430000000000000049e-01,1.429020000000000046e+01
4.440000000000000058e-01,1.429020000000000046e+01
4.450000000000000067e-01,1.429410000000000025e+01
4.460000000000000075e-01,1.446189999999999998e+01
4.470000000000000084e-01,1.467340000000000089e+01
4.480000000000000093e-01,1.471620000000000061e+01
4.490000000000000102e-01,1.454909999999999926e+01
4.500000000000000111e-01,1.462710000000000043e+01
4.510000000000000120e-01,1.467179999999999929e+01
4.520000000000000129e-01,1.461860000000000070e+01
4.530000000000000138e-01,1.496090000000000053e+01
4.540000000000000147e-01,1.497620000000000040e+01
4.550000000000000155e-01,1.526040000000000063e+01
4.560000000000000164e-01,1.526510000000000034e+01
4.570000000000000173e-01,1.527289999999999992e+01
4.580000000000000182e-01,1.516590000000000060e+01
4.590000000000000191e-01,1.515559999999999974e+01
4.600000000000000200e-01,1.518709999999999916e+01
4.610000000000000209e-01,1.519030000000000058e+01
4.620000000000000218e-01,1.535420000000000051e+01
4.630000000000000226e-01,1.535239999999999938e+01
4.640000000000000235e-01,1.526379999999999981e+01
4.650000000000000244e-01,1.530139999999999922e+01
4.660000000000000253e-01,1.542769999999999975e+01
4.670000000000000262e-01,1.543159999999999954e+01
4.680000000000000271e-01,1.551219999999999999e+01
4.689999999999999725e-01,1.538419999999999987e+01
4.699999999999999734e-01,1.539010000000000034e+01
4.709999999999999742e-01,1.552250000000000085e+01
4.719999999999999751e-01,1.551219999999999999e+01
4.729999999999999760e-01,1.551009999999999955e+01
4.739999999999999769e-01,1.568580000000000041e+01
4.749999999999999778e-01,1.585529999999999973e+01
4.759999999999999787e-01,1.598550000000000004e+01
4.769999999999999796e-01,1.551430000000000042e+01
4.779999999999999805e-01,1.584029999999999916e+01
4.789999999999999813e-01,1.596749999999999936e+01
4.799999999999999822e-01,1.605409999999999826e+01
4.809999999999999831e-01,1.597259999999999991e+01
4.819999999999999840e-01,1.605140000000000100e+01
4.829999999999999849e-01,1.605409999999999826e+01
4.839999999999999858e-01,1.612989999999999924e+01
4.849999999999999867e-01,1.612989999999999924e+01
4.859999999999999876e-01,1.612430000000000163e+01
4.869999999999999885e-01,1.634600000000000009e+01
4.879999999999999893e-01,1.651210000000000022e+01
4.889999999999999902e-01,1.659880000000000067e+01
4.899999999999999911e-01,1.666629999999999967e+01
4.909999999999999920e-01,1.647899999999999920e+01
4.919999999999999929e-01,1.655829999999999913e+01
4.929999999999999938e-01,1.630170000000000030e+01
4.939999999999999947e-01,1.659260000000000090e+01
4.949999999999999956e-01,1.672500000000000142e+01
4.959999999999999964e-01,1.658320000000000149e+01
4.969999999999999973e-01,1.678859999999999886e+01
4.979999999999999982e-01,1.679520000000000124e+01
4.989999999999999991e-01,1.678529999999999944e+01
5.000000000000000000e-01,1.679189999999999827e+01
5.010000000000000009e-01,1.687839999999999918e+01
5.020000000000000018e-01,1.702489999999999881e+01
5.030000000000000027e-01,1.699340000000000117e+01
5.040000000000000036e-01,1.707610000000000028e+01
5.050000000000000044e-01,1.719000000000000128e+01
5.060000000000000053e-01,1.719729999999999848e+01
5.070000000000000062e-01,1.720100000000000051e+01
