Wavelength (micron), Reflectance
2.0510000e-001,-1.2300000e+034
2.1310002e-001,-1.2300000e+034
2.2110000e-001,-1.2300000e+034
2.2910000e-001,-1.2300000e+034
2.3610000e-001,-1.2300000e+034
2.4210002e-001, 1.7441976e-001
2.4810001e-001, 1.6751868e-001
2.5360000e-001, 1.7397465e-001
2.5860000e-001, 1.7427611e-001
2.6359999e-001, 1.7722903e-001
2.6859999e-001, 1.8257204e-001
2.7309999e-001, 1.8084767e-001
2.7710000e-001, 1.8733755e-001
2.8109998e-001, 1.8934704e-001
2.8509998e-001, 1.9535297e-001
2.8909999e-001, 1.9256181e-001
2.9310000e-001, 1.9228424e-001
2.9710001e-001, 1.9666499e-001
3.0109999e-001, 2.0455712e-001
3.0509999e-001, 2.0638481e-001
3.0910000e-001, 2.0956197e-001
3.1309998e-001, 2.1210594e-001
3.1709999e-001, 2.1933116e-001
3.2110000e-001, 2.2086486e-001
3.2510000e-001, 2.2955978e-001
3.2910001e-001, 2.3131819e-001
3.3309999e-001, 2.3460643e-001
3.3710000e-001, 2.4079078e-001
3.4109998e-001, 2.4765147e-001
3.4509999e-001, 2.5576618e-001
3.4909999e-001, 2.5952876e-001
3.5310000e-001, 2.7680293e-001
3.5710001e-001, 2.8164926e-001
3.6060002e-001, 2.8784055e-001
3.6360002e-001, 2.9147610e-001
3.6660004e-001, 2.9514095e-001
3.6960003e-001, 2.9850823e-001
3.7260002e-001, 3.0285111e-001
3.7560001e-001, 3.0780825e-001
3.7860000e-001, 3.1257251e-001
3.8109997e-001, 3.1745374e-001
3.8309997e-001, 3.1838995e-001
3.8509998e-001, 3.2032609e-001
3.8709998e-001, 3.2516822e-001
3.8909999e-001, 3.2678461e-001
3.9109999e-001, 3.3016104e-001
3.9309999e-001, 3.3183292e-001
3.9510000e-001, 3.3539695e-001
3.9710000e-001, 3.3709714e-001
3.9910001e-001, 3.3842355e-001
4.0109998e-001, 3.4191990e-001
4.0309998e-001, 3.4256768e-001
4.0509999e-001, 3.4406903e-001
4.0709999e-001, 3.4587240e-001
4.0910000e-001, 3.4736052e-001
4.1109997e-001, 3.4977475e-001
4.1280001e-001, 3.5105604e-001
4.1580001e-001, 3.5377651e-001
4.1880000e-001, 3.5513917e-001
4.2180002e-001, 3.5777012e-001
4.2480004e-001, 3.6146259e-001
4.2780003e-001, 3.6291048e-001
4.3080002e-001, 3.6699280e-001
4.3380001e-001, 3.7003565e-001
4.3680003e-001, 3.7262577e-001
4.3980002e-001, 3.7501913e-001
4.4280002e-001, 3.7768996e-001
4.4580001e-001, 3.7976915e-001
4.4880000e-001, 3.8163841e-001
4.5130000e-001, 3.8299870e-001
4.5330000e-001, 3.8249975e-001
4.5530000e-001, 3.8494694e-001
4.5730001e-001, 3.8529146e-001
4.5930001e-001, 3.8459405e-001
4.6129999e-001, 3.8575941e-001
4.6329999e-001, 3.8655865e-001
4.6529999e-001, 3.8761663e-001
4.6730000e-001, 3.8816819e-001
4.6930000e-001, 3.8819441e-001
4.7129998e-001, 3.8906780e-001
4.7329998e-001, 3.8954404e-001
4.7529998e-001, 3.9045131e-001
4.7729999e-001, 3.9106464e-001
4.7929999e-001, 3.9317113e-001
4.8130000e-001, 3.9416993e-001
4.8330000e-001, 3.9397007e-001
4.8530000e-001, 3.9587352e-001
4.8730001e-001, 3.9597827e-001
4.8930001e-001, 3.9766213e-001
4.9129999e-001, 3.9844751e-001
4.9329999e-001, 4.0064183e-001
4.9529999e-001, 4.0198404e-001
4.9730000e-001, 4.0362707e-001
4.9930000e-001, 4.0459049e-001
5.0129998e-001, 4.0589780e-001
5.0330001e-001, 4.0745166e-001
5.0529999e-001, 4.0898240e-001
5.0730002e-001, 4.0953195e-001
5.0929999e-001, 4.1233179e-001
5.1129997e-001, 4.1302684e-001
5.1330000e-001, 4.1571507e-001
5.1529998e-001, 4.1609892e-001
5.1730001e-001, 4.1759896e-001
5.1929998e-001, 4.1950628e-001
5.2129996e-001, 4.2237946e-001
5.2329999e-001, 4.2286912e-001
5.2529997e-001, 4.2409480e-001
5.2730000e-001, 4.2578554e-001
5.2929997e-001, 4.2729902e-001
5.3129995e-001, 4.2826161e-001
5.3329998e-001, 4.3034118e-001
5.3529996e-001, 4.3182978e-001
5.3729999e-001, 4.3316114e-001
5.3929996e-001, 4.3463740e-001
5.4130000e-001, 4.3660879e-001
5.4330003e-001, 4.3786725e-001
5.4530001e-001, 4.3945801e-001
5.4730004e-001, 4.4105989e-001
5.4930001e-001, 4.4146523e-001
5.5129999e-001, 4.4237551e-001
5.5330002e-001, 4.4314489e-001
5.5530000e-001, 4.4509241e-001
5.5730003e-001, 4.4606769e-001
5.5930001e-001, 4.4676873e-001
5.6129998e-001, 4.4761974e-001
5.6330001e-001, 4.4944161e-001
5.6529999e-001, 4.5009169e-001
5.6730002e-001, 4.5106819e-001
5.6930000e-001, 4.5263237e-001
5.7129997e-001, 4.5358744e-001
5.7330000e-001, 4.5458791e-001
5.7529998e-001, 4.5600387e-001
5.7730001e-001, 4.5711890e-001
5.7929999e-001, 4.5828861e-001
5.8129996e-001, 4.5985869e-001
5.8329999e-001, 4.6016225e-001
5.8529997e-001, 4.6117786e-001
5.8730000e-001, 4.6277601e-001
5.8929998e-001, 4.6437785e-001
5.9130001e-001, 4.6423724e-001
5.9330004e-001, 4.6480173e-001
5.9530002e-001, 4.6388036e-001
5.9730005e-001, 4.6597654e-001
5.9930003e-001, 4.6588475e-001
6.0110003e-001, 4.6592659e-001
6.0270000e-001, 4.6684566e-001
6.0430002e-001, 4.6744949e-001
6.0589999e-001, 4.6763748e-001
6.0750008e-001, 4.6732560e-001
6.0910004e-001, 4.6827096e-001
6.1070001e-001, 4.6928251e-001
6.1229998e-001, 4.6919209e-001
6.1390001e-001, 4.7106099e-001
6.1550003e-001, 4.6938950e-001
6.1710006e-001, 4.7090691e-001
6.1870003e-001, 4.7116250e-001
6.2029999e-001, 4.7204748e-001
6.2189996e-001, 4.7232994e-001
6.2350005e-001, 4.7274986e-001
6.2510002e-001, 4.7420853e-001
6.2669998e-001, 4.7372898e-001
6.2830001e-001, 4.7408807e-001
6.2989998e-001, 4.7561091e-001
6.3169998e-001, 4.7669426e-001
6.3370001e-001, 4.7614437e-001
6.3569999e-001, 4.7715914e-001
6.3770002e-001, 4.7853377e-001
6.3970000e-001, 4.7820216e-001
6.4170003e-001, 4.7999364e-001
6.4370006e-001, 4.8025632e-001
6.4570004e-001, 4.8079082e-001
6.4770007e-001, 4.8108444e-001
6.4970005e-001, 4.8166469e-001
6.5170002e-001, 4.8382252e-001
6.5370005e-001, 4.8441494e-001
6.5570003e-001, 4.8481062e-001
6.5770006e-001, 4.8604798e-001
6.5970004e-001, 4.8738158e-001
6.6170001e-001, 4.9101463e-001
6.6370004e-001, 4.9140847e-001
6.6570002e-001, 4.9409366e-001
6.6770005e-001, 4.9188155e-001
6.7019999e-001, 4.9297309e-001
6.7320001e-001, 4.9297553e-001
6.7619997e-001, 4.9509385e-001
6.7919999e-001, 4.9603331e-001
6.8219995e-001, 4.9841321e-001
6.8519998e-001, 4.9951586e-001
