Wavelength (micron), Reflectance
3.7049001e-001,-1.2300000e+034
3.8021001e-001,-1.2300000e+034
3.8993001e-001,-1.2300000e+034
3.9967003e-001,-1.2300000e+034
4.0942001e-001, 3.7331820e-002
4.1918999e-001, 3.5313632e-002
4.2897001e-001, 3.5713635e-002
4.3875998e-001, 3.7122723e-002
4.4854999e-001, 3.8018182e-002
4.5835999e-001, 3.7559088e-002
4.6817997e-001, 3.8304549e-002
4.7799999e-001, 3.8459092e-002
4.8784003e-001, 3.8100000e-002
4.9768001e-001, 3.7827272e-002
5.0753003e-001, 4.1440904e-002
5.1738000e-001, 4.7227275e-002
5.2723998e-001, 5.9163641e-002
5.3710002e-001, 7.1559086e-002
5.4696000e-001, 8.2436368e-002
5.5682999e-001, 8.7904550e-002
5.6671000e-001, 8.5927270e-002
5.7657999e-001, 7.9522729e-002
5.8644998e-001, 7.4631818e-002
5.9632999e-001, 7.2236359e-002
6.0619998e-001, 6.9918185e-002
6.1607999e-001, 6.5054543e-002
6.2594998e-001, 6.2618174e-002
6.3582003e-001, 6.1572734e-002
6.4569002e-001, 5.7200000e-002
6.5556008e-001, 5.2436363e-002
6.6542006e-001, 4.7354545e-002
6.6602004e-001,-1.2300000e+034
6.7526996e-001,-1.2300000e+034
6.7561001e-001, 4.4059090e-002
6.8519002e-001, 4.8672728e-002
6.9478005e-001, 7.6695457e-002
7.0436996e-001, 1.3305455e-001
7.1395999e-001, 1.9197728e-001
7.2355002e-001, 2.4672273e-001
7.3313999e-001, 2.8638184e-001
7.4272996e-001, 3.1037271e-001
7.5231999e-001, 3.2250911e-001
7.6190996e-001,-1.2300000e+034
7.7151000e-001, 3.3247724e-001
7.8109998e-001, 3.3422726e-001
7.9069996e-001, 3.3674544e-001
8.0028999e-001, 3.3961821e-001
8.0989003e-001, 3.4048182e-001
8.1948000e-001, 3.4150001e-001
8.2907999e-001, 3.4100908e-001
8.3867997e-001, 3.4052277e-001
8.4828001e-001, 3.4062728e-001
8.5788006e-001, 3.4118184e-001
8.6748004e-001, 3.4240001e-001
8.7708002e-001, 3.4400907e-001
8.8667995e-001, 3.4366363e-001
8.9628994e-001, 3.4421363e-001
9.0588999e-001, 3.4475452e-001
9.1548997e-001, 3.4344092e-001
9.2509997e-001,-1.2300000e+034
9.3469995e-001,-1.2300000e+034
9.4431001e-001,-1.2300000e+034
9.5392001e-001, 3.1250909e-001
9.6352005e-001, 3.0576819e-001
9.7312999e-001, 3.0534092e-001
9.8273993e-001, 3.0498639e-001
9.9234998e-001, 3.0727729e-001
1.0019600e+000, 3.1085908e-001
1.0115700e+000,-1.2300000e+034
1.0211900e+000, 3.1965455e-001
1.0308000e+000, 3.2435003e-001
1.0404099e+000, 3.2910001e-001
1.0500300e+000, 3.3276361e-001
1.0596399e+000, 3.3555454e-001
1.0692599e+000, 3.3726361e-001
1.0788701e+000, 3.3735001e-001
1.0884900e+000, 3.3690000e-001
1.0981101e+000, 3.3558178e-001
1.1077300e+000, 3.3195907e-001
1.1173500e+000, 3.2391363e-001
1.1269701e+000,-1.2300000e+034
1.1365900e+000,-1.2300000e+034
1.1462101e+000,-1.2300000e+034
1.1558300e+000,-1.2300000e+034
1.1654499e+000, 2.7283180e-001
1.1750801e+000, 2.7118635e-001
1.1847000e+000, 2.6954091e-001
1.1943301e+000, 2.6760003e-001
1.2039500e+000, 2.6823181e-001
1.2135800e+000, 2.6925910e-001
1.2232101e+000, 2.7092728e-001
1.2328300e+000, 2.7235907e-001
1.2424599e+000, 2.7469093e-001
1.2520900e+000, 2.7586365e-001
1.2542499e+000,-1.2300000e+034
1.2617201e+000,-1.2300000e+034
1.2642200e+000, 2.7805001e-001
1.2713501e+000,-1.2300000e+034
1.2741901e+000, 2.7797726e-001
1.2841600e+000, 2.7534091e-001
1.2941301e+000, 2.7444544e-001
1.3040999e+000, 2.6867273e-001
1.3140699e+000, 2.6128635e-001
1.3240399e+000, 2.5084546e-001
