wavelength (micron), reflectivity
3.499999999999999778e-01,3.457676999999999973e-02
3.509999999999999787e-01,3.499594699999999947e-02
3.519999999999999796e-01,3.424636600000000031e-02
3.529999999999999805e-01,3.289433499999999677e-02
3.539999999999999813e-01,3.317931899999999878e-02
3.549999999999999822e-01,3.304212599999999805e-02
3.559999999999999831e-01,3.179547499999999666e-02
3.569999999999999840e-01,2.986439100000000055e-02
3.579999999999999849e-01,2.911502900000000060e-02
3.589999999999999858e-01,2.857572599999999921e-02
3.599999999999999867e-01,2.870409900000000028e-02
3.609999999999999876e-01,2.945857099999999937e-02
3.619999999999999885e-01,2.740218999999999988e-02
3.629999999999999893e-01,2.724762600000000048e-02
3.639999999999999902e-01,2.789567199999999983e-02
3.649999999999999911e-01,2.541918500000000039e-02
3.659999999999999920e-01,2.599134000000000166e-02
3.669999999999999929e-01,2.638649499999999939e-02
3.679999999999999938e-01,2.506278500000000062e-02
3.689999999999999947e-01,2.425126299999999860e-02
3.699999999999999956e-01,2.373907100000000048e-02
3.709999999999999964e-01,2.346422299999999933e-02
3.719999999999999973e-01,2.342031600000000005e-02
3.729999999999999982e-01,2.394851500000000008e-02
3.739999999999999991e-01,2.393749800000000150e-02
3.750000000000000000e-01,2.356463899999999834e-02
3.760000000000000009e-01,2.358854399999999948e-02
3.770000000000000018e-01,2.303863199999999986e-02
3.780000000000000027e-01,2.307563300000000164e-02
3.790000000000000036e-01,2.358806199999999992e-02
3.800000000000000044e-01,2.258368599999999865e-02
3.810000000000000053e-01,2.259133500000000058e-02
3.820000000000000062e-01,2.324299200000000051e-02
3.830000000000000071e-01,2.359127499999999836e-02
3.840000000000000080e-01,2.315038900000000038e-02
3.850000000000000089e-01,2.308052000000000020e-02
3.860000000000000098e-01,2.332804900000000001e-02
3.870000000000000107e-01,2.323249000000000147e-02
3.880000000000000115e-01,2.305722500000000064e-02
3.890000000000000124e-01,2.266445799999999844e-02
3.900000000000000133e-01,2.240682000000000090e-02
3.910000000000000142e-01,2.326785599999999996e-02
3.920000000000000151e-01,2.317530099999999885e-02
3.930000000000000160e-01,2.335091699999999881e-02
3.940000000000000169e-01,2.470957999999999835e-02
3.950000000000000178e-01,2.493731500000000156e-02
3.960000000000000187e-01,2.430019799999999855e-02
3.970000000000000195e-01,2.388559100000000116e-02
3.980000000000000204e-01,2.488130399999999992e-02
3.990000000000000213e-01,2.586168499999999884e-02
4.000000000000000222e-01,2.608321499999999987e-02
4.010000000000000231e-01,2.588371899999999948e-02
4.020000000000000240e-01,2.674741900000000144e-02
4.030000000000000249e-01,2.710564500000000113e-02
4.040000000000000258e-01,2.716753699999999855e-02
4.050000000000000266e-01,2.745003700000000005e-02
4.060000000000000275e-01,2.819370100000000157e-02
4.069999999999999729e-01,2.863585299999999931e-02
4.079999999999999738e-01,2.892205600000000154e-02
4.089999999999999747e-01,2.960001799999999877e-02
4.099999999999999756e-01,3.044581500000000107e-02
4.109999999999999765e-01,3.101935700000000087e-02
4.119999999999999774e-01,3.139283500000000088e-02
4.129999999999999782e-01,3.227045600000000292e-02
4.139999999999999791e-01,3.291701100000000296e-02
4.149999999999999800e-01,3.346314699999999864e-02
4.159999999999999809e-01,3.413948099999999930e-02
4.169999999999999818e-01,3.486712499999999881e-02
4.179999999999999827e-01,3.561386200000000307e-02
4.189999999999999836e-01,3.629917800000000139e-02
4.199999999999999845e-01,3.689564299999999880e-02
4.209999999999999853e-01,3.792805800000000060e-02
4.219999999999999862e-01,3.903869299999999931e-02
4.229999999999999871e-01,3.991058799999999684e-02
4.239999999999999880e-01,4.038594300000000054e-02
4.249999999999999889e-01,4.145804699999999787e-02
4.259999999999999898e-01,4.238718500000000083e-02
4.269999999999999907e-01,4.268203699999999906e-02
4.279999999999999916e-01,4.386387099999999872e-02
4.289999999999999925e-01,4.508701100000000322e-02
4.299999999999999933e-01,4.601043900000000020e-02
4.309999999999999942e-01,4.667092600000000147e-02
4.319999999999999951e-01,4.764270500000000047e-02
4.329999999999999960e-01,4.863837699999999653e-02
4.339999999999999969e-01,4.946408199999999949e-02
4.349999999999999978e-01,5.012515699999999658e-02
4.359999999999999987e-01,5.090975799999999940e-02
4.369999999999999996e-01,5.167541400000000285e-02
4.380000000000000004e-01,5.228827700000000106e-02
4.390000000000000013e-01,5.300845400000000346e-02
4.400000000000000022e-01,5.379137300000000343e-02
4.410000000000000031e-01,5.466540500000000025e-02
4.420000000000000040e-01,5.565952500000000136e-02
